restaurant name,restaurant type,rate,num of ratings,avg cost,online_order,table booking,cuisines type,area,local address,rating_category
Keep It Straight Cafe,Cafe,3.9,202,500.0,Yes,Yes,"Cafe, North Indian, Fast Food","Byresandra,Tavarekere,Madiwala",Hsr,Good
Keerthi Restaurant,Quick Bites,3.3,11,300.0,Yes,No,"North Indian, Chinese",Bellandur,Sarjapur Road,Average
Keerthi Restaurant Andhra Style,Quick Bites,2.8,40,300.0,Yes,No,Andhra,Bellandur,Marathahalli,Poor
Kenny's Restaurant,Quick Bites,3.4,38,450.0,Yes,No,Chinese,Kalyan Nagar,Banaswadi,Average
Kenriy The Restro,Casual Dining,3.3,6,800.0,No,No,"Goan, Mangalorean",Kalyan Nagar,Kammanahalli,Average
Kentacky Chicken Corner,Quick Bites,4.0,102,300.0,No,No,"Andhra, South Indian",Brigade Road,Richmond Road,Very nice
Kentaky Fast Food,Quick Bites,3.2,46,350.0,No,No,"North Indian, Chinese, Seafood",Rajajinagar,Basaveshwara Nagar,Average
Kenz Karam,"Takeaway, Delivery",3.5,10,300.0,Yes,No,"Desserts, Beverages",Brigade Road,Frazer Town,Good
Kerala Cafe,Quick Bites,3.2,4,300.0,No,No,"Kerala, South Indian, North Indian",Marathahalli,Kaggadasapura,Average
Kerala Food,Quick Bites,2.8,40,200.0,No,No,"South Indian, Chinese, North Indian",Church Street,Vasanth Nagar,Poor
Kerala Foods,Quick Bites,3.5,10,250.0,No,No,Kerala,Church Street,Vasanth Nagar,Good
Kerala Kitchen,Quick Bites,3.1,32,200.0,No,No,"Kerala, South Indian",Lavelle Road,Brigade Road,Average
Kerala Mess,Mess,2.9,40,300.0,Yes,No,"Chinese, Kerala, North Indian",Kalyan Nagar,Nagawara,Poor
Kerala Mess Upahar,Mess,3.7,123,300.0,Yes,No,"Kerala, Biryani, South Indian",Bellandur,Bellandur,Good
Kerala Mess. SIJI's MESS,Mess,2.8,40,100.0,No,No,Kerala,Koramangala 4Th Block,Ejipura,Poor
Kerala Panoor Restaurant,Quick Bites,3.5,137,350.0,Yes,No,"Kerala, Seafood, Biryani, South Indian",Bellandur,Bellandur,Good
Kerala Pavilion,Quick Bites,3.8,305,300.0,Yes,No,"Kerala, South Indian, Seafood, Biryani",Koramangala 5Th Block,Domlur,Good
Kerala Restaurant,Quick Bites,3.4,66,450.0,Yes,No,"Kerala, Biryani",Brookefield,Whitefield,Average
Kerala Tiffin,Delivery,3.9,162,300.0,Yes,No,Kerala,Brookefield,Whitefield,Good
Kerala Vibes,Casual Dining,3.6,80,500.0,No,No,Kerala,Indiranagar,Jeevan Bhima Nagar,Good
Kesar Rajasthani Parotha Point,Quick Bites,3.9,34,200.0,Yes,No,"North Indian, Rajasthani",Basavanagudi,Basavanagudi,Good
Kesar Restaurant,Quick Bites,3.6,48,200.0,Yes,No,"North Indian, Chinese, South Indian",Bannerghatta Road,Jp Nagar,Good
Kesar Sweet Shop and Fast Food,Quick Bites,3.9,47,500.0,No,No,"North Indian, South Indian, Chinese, Street Food, Mithai",Kalyan Nagar,Kalyan Nagar,Good
Kesariya,Casual Dining,4.2,174,1200.0,No,Yes,Rajasthani,Malleshwaram,Sadashiv Nagar,Very nice
Keshava Kabab Centre,Quick Bites,3.2,7,200.0,No,No,North Indian,Jayanagar,Jp Nagar,Average
Keto Kitchen,Casual Dining,3.1,18,500.0,Yes,No,Healthy Food,Indiranagar,Indiranagar,Average
Kettle & Kegs,Delivery,2.9,9,200.0,Yes,No,"Tea, Beverages",Kalyan Nagar,Kammanahalli,Poor
Kettle On,Quick Bites,3.7,110,400.0,Yes,No,"Fast Food, Sandwich, Beverages",Electronic City,Electronic City,Good
Ketty's Corner,Quick Bites,3.3,4,200.0,No,No,"Fast Food, Street Food, Beverages",New Bel Road,New Bel Road,Average
Keventers,"Beverage Shop, Dessert Parlor",3.0,14,400.0,No,No,"Desserts, Beverages, Ice Cream",Brigade Road,Brigade Road,Average
Kevins Kitchen,Quick Bites,3.7,103,400.0,Yes,No,"North Indian, Chinese, Biryani","Byresandra,Tavarekere,Madiwala",Koramangala 6Th Block,Good
Keys Cafe - Keys Hotel,Casual Dining,3.8,115,1200.0,No,No,"Chinese, Continental, North Indian",Electronic City,Electronic City,Good
KFC,Food Court,2.8,246,400.0,Yes,No,"Burger, Fast Food",Brookefield,"Itpl Main Road, Whitefield",Poor
KF's Biryani's and Kababs,Quick Bites,3.4,17,400.0,Yes,No,"Biryani, Kebab","Byresandra,Tavarekere,Madiwala",Koramangala 4Th Block,Average
Khai Khai,Quick Bites,3.9,50,450.0,Yes,No,Bengali,"Byresandra,Tavarekere,Madiwala",Hsr,Good
Khaja Point,Quick Bites,2.8,40,300.0,No,No,"North Indian, Chinese, Biryani","Byresandra,Tavarekere,Madiwala",Btm,Poor
Khan Saab Hotel,Quick Bites,3.1,16,300.0,Yes,No,"North Indian, Biryani, Chinese","Byresandra,Tavarekere,Madiwala",Bommanahalli,Average
Khan Saheb Grills and Rolls,"Food Court, Quick Bites",2.6,24,400.0,Yes,No,"Fast Food, Rolls",Malleshwaram,Malleshwaram,Poor
Khana Khazana,Delivery,3.7,22,400.0,Yes,No,North Indian,Bannerghatta Road,Bannerghatta Road,Good
Khane Ka Khazana,Quick Bites,3.5,17,250.0,Yes,No,North Indian,Brookefield,"Itpl Main Road, Whitefield",Good
Khan's Biryani,Quick Bites,3.0,11,200.0,Yes,No,"Biryani, North Indian",Jayanagar,Btm,Average
Khatta Meetha Teekha,Quick Bites,4.2,189,300.0,Yes,No,"Street Food, North Indian, Mithai, Chinese, Beverages","Byresandra,Tavarekere,Madiwala",Koramangala 6Th Block,Very nice
Khawa Karpo,Quick Bites,4.3,988,350.0,No,No,"Chinese, Tibetan, Momos","Byresandra,Tavarekere,Madiwala",Koramangala 5Th Block,Very nice
Khazana Food Paradise,Quick Bites,4.1,356,400.0,No,No,"North Indian, Biryani",Brigade Road,Richmond Road,Very nice
Kheer Kadamb - Bengali Sweets and Snacks,"Sweet Shop, Quick Bites",2.8,40,300.0,No,No,"Mithai, Street Food",Brookefield,Whitefield,Poor
Khichadiwala,"Takeaway, Delivery",3.9,15,400.0,Yes,No,North Indian,"Byresandra,Tavarekere,Madiwala",Hsr,Good
Khiche Chale Aao,Quick Bites,2.8,40,300.0,Yes,No,"North Indian, Fast Food",Koramangala 4Th Block,Koramangala 6Th Block,Poor
Kholi Mane,Quick Bites,3.6,46,450.0,No,No,"Andhra, South Indian, Biryani, North Indian",Banashankari,Basavanagudi,Good
KHOPCHA,Takeaway,4.0,154,200.0,Yes,No,"Fast Food, Rolls, Kebab",New Bel Road,Sahakara Nagar,Very nice
Khushi Kitchen,Quick Bites,3.3,69,400.0,Yes,No,"Street Food, North Indian, Bengali, Oriya",Indiranagar,Thippasandra,Average
Khyma Biryani,Casual Dining,3.9,240,600.0,Yes,No,Biryani,Kalyan Nagar,Kalyan Nagar,Good
Kia's Kitchen,Delivery,3.5,12,600.0,Yes,No,"North Indian, Chinese",Hsr,Hsr,Good
Kichukkhon,Quick Bites,2.9,48,250.0,No,No,"Bengali, Oriya",Marathahalli,Marathahalli,Poor
Kick Out the Jams,Delivery,4.0,528,350.0,Yes,No,"Burger, American, Italian",Brigade Road,Ejipura,Very nice
Kickin Burger,Quick Bites,3.1,22,400.0,Yes,No,Fast Food,Basavanagudi,Jayanagar,Average
Kidambi's Kitchen,Quick Bites,3.4,52,300.0,No,No,South Indian,Jayanagar,Banashankari,Average
Kidilum,Casual Dining,3.6,32,450.0,Yes,No,"North Indian, Chinese, Kerala",Bellandur,Marathahalli,Good
Kijiji - Chal Yaha Khate Hai,Quick Bites,3.7,306,400.0,Yes,No,"North Indian, Gujarati, Street Food",Kalyan Nagar,Nagawara,Good
Kiko,"Takeaway, Delivery",3.4,10,500.0,Yes,No,"Salad, Chinese",Kalyan Nagar,Kammanahalli,Average
Kim Lee Restaurant,Casual Dining,3.8,149,700.0,Yes,No,Chinese,Malleshwaram,Rajajinagar,Good
Kinara Family Restaurant,Casual Dining,3.5,11,600.0,No,No,"South Indian, North Indian, Chinese",Electronic City,Electronic City,Good
