restaurant name,restaurant type,rate,num of ratings,avg cost,online_order,table booking,cuisines type,area,local address,rating_category
Bikaneri Sweets,Sweet Shop,3.4,19,250.0,Yes,No,"Mithai, Street Food",Bannerghatta Road,Bannerghatta Road,Average
Billionaires Cafe,Cafe,3.8,47,600.0,No,No,"Cafe, Italian",Jayanagar,Koramangala 5Th Block,Good
Bindu Garden Bar & Restaurant,Casual Dining,3.1,36,550.0,Yes,No,"North Indian, Chinese",Hsr,Hsr,Average
BingeJoy!,Kiosk,3.6,16,100.0,Yes,No,"Biryani, Chinese, Fast Food",Bannerghatta Road,Jp Nagar,Good
Birbal Darbar,Casual Dining,4.1,317,600.0,No,No,"North Indian, Chinese, Biryani",Sarjapur Road,Sarjapur Road,Very nice
Birinz,Casual Dining,4.1,292,700.0,Yes,No,"Biryani, Chinese, Mughlai, Fast Food, Kebab",Bannerghatta Road,Btm,Very nice
Biriyani & Kabab Corner,Quick Bites,2.8,40,350.0,No,No,"Biryani, North Indian, Chinese",Marathahalli,Marathahalli,Poor
Biriyani Adda,Quick Bites,2.8,40,350.0,Yes,No,"Biryani, Fast Food",Hsr,Bellandur,Poor
Biriyani Angadi,Quick Bites,3.2,7,200.0,No,No,Biryani,Bannerghatta Road,Btm,Average
Biriyani Bhatti,Quick Bites,3.7,21,400.0,Yes,No,"Chinese, Hyderabadi, North Indian",Bannerghatta Road,Btm,Good
Biriyani Bungalow,Casual Dining,3.1,4,600.0,Yes,No,"Biryani, North Indian",Bellandur,Hsr,Average
Biriyani Combo 99,Quick Bites,2.8,40,300.0,No,No,Biryani,Indiranagar,Indiranagar,Poor
Biriyani Fest,Delivery,2.8,33,700.0,Yes,No,"Biryani, North Indian, Chinese",New Bel Road,New Bel Road,Poor
Biriyani House,Casual Dining,3.6,27,400.0,Yes,No,Biryani,Bellandur,Bellandur,Good
Biriyani Hub,Delivery,3.0,30,400.0,Yes,No,"Fast Food, Biryani, Seafood, South Indian",New Bel Road,New Bel Road,Average
Biriyani Mane,Casual Dining,3.7,158,700.0,Yes,No,"Biryani, Chinese, North Indian",Bannerghatta Road,Jayanagar,Good
Biriyani Nights,"Takeaway, Delivery",2.9,119,500.0,Yes,No,"Biryani, Kebab, Continental",Frazer Town,Kammanahalli,Poor
Biriyani Paradise,Casual Dining,3.5,18,550.0,No,No,"North Indian, Kerala, Biryani, South Indian",Electronic City,Electronic City,Good
Biriyani Section,Quick Bites,2.8,40,300.0,Yes,No,"Biryani, North Indian",Brookefield,Whitefield,Poor
Biriyani Zone,Casual Dining,3.7,22,800.0,Yes,No,"Biryani, North Indian, Chinese, Seafood",Old Airport Road,Cv Raman Nagar,Good
Biriyani's House,Quick Bites,2.8,40,200.0,Yes,No,"Biryani, North Indian",Hsr,Hsr,Poor
Biriyaniz,"Takeaway, Delivery",3.4,301,400.0,Yes,No,"Biryani, North Indian, Chinese, Andhra","Byresandra,Tavarekere,Madiwala",Hsr,Average
Biriyummy,Quick Bites,3.3,6,250.0,No,No,"Biryani, Kebab",Kalyan Nagar,Banaswadi,Average
Biryani & Kabab,Quick Bites,3.2,4,150.0,No,No,Biryani,Brookefield,Whitefield,Average
Biryani & Kabab Corner,Casual Dining,3.7,32,450.0,No,No,"North Indian, Chinese, Biryani, Andhra",Marathahalli,Marathahalli,Good
Biryani Affair,Delivery,3.5,147,350.0,Yes,No,Biryani,Hsr,Hsr,Good
Biryani Bar,Delivery,2.8,40,300.0,Yes,No,Biryani,Brookefield,Whitefield,Poor
Biryani Bazar,Quick Bites,3.3,4,250.0,No,No,Biryani,Indiranagar,Indiranagar,Average
Biryani Bowl,Kiosk,3.3,10,550.0,No,No,"Biryani, Andhra",Whitefield,Whitefield,Average
Biryani Club,Quick Bites,2.9,31,400.0,No,No,"South Indian, Biryani",Indiranagar,Jeevan Bhima Nagar,Poor
Biryani Darbar,Casual Dining,3.3,12,600.0,Yes,No,"Biryani, Chinese",Electronic City,Electronic City,Average
Biryani Dawat,Quick Bites,2.8,40,400.0,No,No,"Biryani, Hyderabadi","Byresandra,Tavarekere,Madiwala",Btm,Poor
Biryani Day,Casual Dining,3.7,751,500.0,Yes,No,"North Indian, Chinese, Biryani, Andhra",Brookefield,Marathahalli,Good
Biryani Durbar,"Takeaway, Delivery",3.7,128,400.0,Yes,No,"Biryani, North Indian",Bannerghatta Road,Bannerghatta Road,Good
Biryani Empire,Quick Bites,3.0,8,400.0,Yes,No,Biryani,New Bel Road,New Bel Road,Average
Biryani Express,Casual Dining,3.7,71,600.0,Yes,No,"Biryani, North Indian",Whitefield,Whitefield,Good
Biryani Factory,Delivery,2.9,14,400.0,Yes,No,Biryani,Marathahalli,Whitefield,Poor
Biryani Feast,Delivery,2.9,132,600.0,Yes,No,"Biryani, North Indian, Chinese",Brookefield,Marathahalli,Poor
Biryani Foodies,Quick Bites,3.1,7,500.0,Yes,No,"Biryani, Mughlai","Byresandra,Tavarekere,Madiwala",Koramangala 5Th Block,Average
Biryani House,Casual Dining,3.5,11,600.0,Yes,No,"Andhra, Biryani, Chinese, North Indian",Bellandur,Bellandur,Good
Biryani Hub,Quick Bites,3.2,87,600.0,Yes,No,"North Indian, South Indian, Biryani",Kalyan Nagar,Nagawara,Average
Biryani Hut,Quick Bites,3.5,9,300.0,Yes,No,"North Indian, Biryani",Bellandur,Sarjapur Road,Good
Biryani Joint,Quick Bites,3.3,4,200.0,No,No,"South Indian, Biryani",Kalyan Nagar,Kammanahalli,Average
Biryani Junction,Quick Bites,2.3,298,450.0,Yes,No,"Biryani, North Indian, Chinese","Byresandra,Tavarekere,Madiwala",Bommanahalli,Poor
Biryani Khazana,"Takeaway, Delivery",3.0,10,600.0,Yes,No,Biryani,Indiranagar,Indiranagar,Average
Biryani Kitchen,Food Court,4.3,627,450.0,Yes,No,Biryani,Brookefield,Whitefield,Very nice
Biryani Knights,Delivery,3.6,21,300.0,No,No,Biryani,"Byresandra,Tavarekere,Madiwala",Jp Nagar,Good
Biryani Lakhnawi,Quick Bites,3.6,13,500.0,No,No,"Lucknowi, Biryani",Brookefield,Marathahalli,Good
Biryani Magic,Quick Bites,3.5,31,300.0,Yes,No,"North Indian, Biryani",Bannerghatta Road,Btm,Good
Biryani Mandra,"Takeaway, Delivery",3.8,70,500.0,Yes,No,"Seafood, Salad, North Indian, Biryani, Chinese","Byresandra,Tavarekere,Madiwala",Koramangala 1St Block,Good
Biryani Mane,Quick Bites,3.6,66,600.0,Yes,No,"North Indian, Biryani",Marathahalli,Marathahalli,Good
Biryani Miya,Delivery,2.9,15,600.0,Yes,No,"Biryani, North Indian",Marathahalli,Marathahalli,Poor
Biryani Nights,Quick Bites,3.5,20,400.0,Yes,No,"South Indian, North Indian, Chinese",Jayanagar,Bannerghatta Road,Good
Biryani Palace,Casual Dining,3.6,37,750.0,Yes,No,"Biryani, North Indian, Chinese",Kalyan Nagar,Nagawara,Good
Biryani Paradise,Casual Dining,3.8,131,700.0,Yes,No,"Andhra, Biryani",Brookefield,Whitefield,Good
Biryani Park,Casual Dining,3.4,85,500.0,Yes,No,"North Indian, Biryani, Chinese, Mughlai",Marathahalli,Brookefield,Average
Biryani Point,Quick Bites,3.2,7,250.0,No,No,Biryani,"Byresandra,Tavarekere,Madiwala",Bommanahalli,Average
Biryani Pot,Casual Dining,3.8,1071,500.0,Yes,No,Biryani,"Byresandra,Tavarekere,Madiwala",Btm,Good
Biryani Rooh-e-Khaas,Delivery,2.8,40,500.0,Yes,No,"Biryani, Mughlai",Hsr,Hsr,Poor
Biryani Royals Garden,Quick Bites,2.8,40,500.0,Yes,No,"North Indian, Biryani, Mughlai",Banashankari,Kumaraswamy Layout,Poor
Biryani Spot,Quick Bites,3.5,9,300.0,Yes,No,"South Indian, Biryani","Byresandra,Tavarekere,Madiwala",Btm,Good
Biryani Times,Quick Bites,3.5,16,300.0,No,No,Biryani,Bannerghatta Road,Jp Nagar,Good
Biryani Treat,Quick Bites,2.8,40,400.0,No,No,Biryani,Malleshwaram,Rajajinagar,Poor
Biryani Treats,Delivery,2.5,105,650.0,No,No,Biryani,New Bel Road,New Bel Road,Poor
Biryani Trip,Delivery,2.8,40,400.0,Yes,No,Biryani,Brigade Road,Indiranagar,Poor
Biryani@Bangalore,"Takeaway, Delivery",2.9,86,300.0,No,No,"Biryani, Chinese, South Indian",Brookefield,Marathahalli,Poor
Biryanis And More,Casual Dining,4.0,618,750.0,Yes,No,"Biryani, North Indian, Chinese, Andhra, South Indian",Banashankari,Jayanagar,Very nice
Bisi Thindi,Quick Bites,2.8,40,150.0,Yes,No,South Indian,Frazer Town,Kammanahalli,Poor
Bisimillah Biriyani,Quick Bites,3.5,11,300.0,No,No,"Biryani, Fast Food","Byresandra,Tavarekere,Madiwala",Btm,Good
Bisimillah Biriyani's & Kebab's,Quick Bites,3.3,6,300.0,No,No,"Biryani, Fast Food","Byresandra,Tavarekere,Madiwala",Btm,Average
Bismilla Kabab & Biryani Centre,Quick Bites,3.2,4,300.0,No,No,"North Indian, Chinese",Kalyan Nagar,Kalyan Nagar,Average
Bismilla Vaniyambadi Biriyani,Quick Bites,2.8,40,200.0,No,No,"Biryani, North Indian",Indiranagar,Domlur,Poor
Bismillah Ambur Biryani,Quick Bites,3.1,7,150.0,No,No,Biryani,Mg Road,Indiranagar,Average
Bismillah Bawarchi,Quick Bites,3.6,42,300.0,Yes,No,"North Indian, Chinese, Biryani",Brookefield,Brookefield,Good
BISO - Citrus Hotels,Casual Dining,3.0,120,1000.0,No,No,"North Indian, Italian, Chinese, Asian",Bellandur,Bellandur,Average
Bistro Claytopia,Cafe,4.1,1845,600.0,Yes,Yes,"Cafe, American, Italian, Burger","Byresandra,Tavarekere,Madiwala",Koramangala 1St Block,Very nice
Bistro Oui,"Cafe, Bar",4.1,400,1200.0,Yes,Yes,"Cafe, Continental, Salad, Steak","Byresandra,Tavarekere,Madiwala",Koramangala 5Th Block,Very nice
Biswal's Food Circle,Quick Bites,2.8,40,350.0,No,No,"Chinese, North Indian",Kammanahalli,Banaswadi,Poor
Bite and Pipes,Casual Dining,3.5,13,500.0,No,No,"Continental, Chinese",Kalyan Nagar,Kammanahalli,Good
Bite Me Cupcakes,Dessert Parlor,4.1,189,300.0,Yes,No,Desserts,"Byresandra,Tavarekere,Madiwala",Koramangala 4Th Block,Very nice
Bite Sip Repeat,Quick Bites,3.4,6,150.0,No,No,"Fast Food, South Indian, North Indian",Electronic City,Electronic City,Average
BITEBOX,Quick Bites,4.4,150,300.0,Yes,No,"North Indian, Chinese, Fast Food, Beverages, Desserts",Brookefield,Marathahalli,Very nice
Bites 2 Binge,Casual Dining,3.7,19,750.0,Yes,No,North Indian,Indiranagar,Indiranagar,Good
Bitez,Quick Bites,2.8,40,100.0,No,No,Fast Food,Banashankari,Banashankari,Poor
Biting Junction,Quick Bites,3.9,119,350.0,Yes,No,"Chinese, North Indian, Rajasthani, Gujarati, Fast Food, Afghan",Whitefield,Whitefield,Good
Black Cup Cafe,Cafe,3.6,19,400.0,Yes,No,"Cafe, Fast Food, Beverages","Byresandra,Tavarekere,Madiwala",Btm,Good
Black Jack,Bar,3.7,318,1400.0,No,No,"North Indian, Chinese",New Bel Road,New Bel Road,Good
Black Kitchen,Casual Dining,3.7,25,400.0,Yes,No,"Kerala, South Indian","Byresandra,Tavarekere,Madiwala",Koramangala 6Th Block,Good
Black Mug Cafe,Cafe,3.7,171,300.0,Yes,No,Cafe,Bannerghatta Road,Bannerghatta Road,Good
Black Pagoda,Quick Bites,2.9,11,300.0,No,No,"North Indian, South Indian, Chinese",Whitefield,Whitefield,Poor
Black Pepper Lounge - Case de Bengaluru,Lounge,3.7,81,1200.0,No,Yes,Finger Food,Koramangala 4Th Block,Koramangala 6Th Block,Good
Black Rock Cafe,Cafe,3.5,22,500.0,No,No,Cafe,Marathahalli,Marathahalli,Good
Blend - Royal Orchid Suites,Casual Dining,3.4,16,1300.0,No,No,"Chinese, North Indian",Whitefield,Whitefield,Average
Bling - The Zuri,Lounge,3.7,228,2100.0,No,No,"Continental, North Indian",Whitefield,Whitefield,Good
Blistering Barnacles,Pub,3.9,1214,1200.0,No,Yes,"Chinese, Continental, American, Steak",Indiranagar,Indiranagar,Good
Blk Plus Wht,"Casual Dining, Cafe",4.3,112,800.0,No,No,"Asian, Thai, North Indian",Hsr,Hsr,Very nice
Bloomsbury's Global Kitchen & Bakehouse,"Cafe, Dessert Parlor",4.5,733,900.0,Yes,Yes,"American, Cafe, Continental, French, Burger, Mexican, Desserts, Pizza",Brookefield,Whitefield,Very nice
BLOW,Cafe,4.2,935,750.0,Yes,Yes,"Cafe, Continental, American, Burger",Brigade Road,Church Street,Very nice
Blu Dale Fast Food,Quick Bites,3.3,7,250.0,No,No,"Chinese, North Indian, Andhra, Seafood",Koramangala 4Th Block,Ejipura,Average
Blu Oyster,Casual Dining,2.8,40,1500.0,No,Yes,"Seafood, Continental, European, Mediterranean",Indiranagar,Indiranagar,Poor
Blue Bar - The Taj West End,Lounge,4.0,113,2500.0,No,Yes,Continental,Church Street,Race Course Road,Very nice
Blue Berry Restaurant,Casual Dining,2.9,17,600.0,No,No,"North Indian, Kerala, Chinese",Bannerghatta Road,Btm,Poor
Blue Ginger - The Taj West End,Fine Dining,4.4,514,3200.0,No,Yes,Vietnamese,Church Street,Race Course Road,Very nice
Blue Heaven Bar And Restaurant,Bar,3.2,6,750.0,No,No,"Chinese, North Indian",Lavelle Road,Majestic,Average
Blue Terrain - Novotel,Fine Dining,4.2,505,2000.0,No,Yes,"Spanish, Italian, Mediterranean",Bellandur,Marathahalli,Very nice
Blue Tokai Coffee Roasters,Cafe,2.8,40,400.0,Yes,No,"Cafe, Coffee","Byresandra,Tavarekere,Madiwala",Koramangala 8Th Block,Poor
Blue Wings Bar & Restaurant,"Bar, Casual Dining",3.7,43,700.0,No,No,"North Indian, Chinese",Banashankari,Banashankari,Good
Blueberry Restaurant,Quick Bites,3.5,48,400.0,Yes,No,"North Indian, Biryani, South Indian",Sarjapur Road,Bellandur,Good
BluO,Lounge,4.1,401,1500.0,No,Yes,"Continental, North Indian",Malleshwaram,Malleshwaram,Very nice
Blytons,Bar,2.8,40,1500.0,No,No,Bar Food,Jp Nagar,Hebbal,Poor
BMG Hotel,Quick Bites,2.8,40,200.0,No,No,"South Indian, North Indian",Electronic City,Electronic City,Poor
BMR Hyderabad Biryani,"Takeaway, Delivery",3.6,24,400.0,Yes,No,Biryani,Bannerghatta Road,Btm,Good
Bobacha,Beverage Shop,4.1,74,300.0,Yes,No,"Beverages, Bubble Tea, Tea",Brookefield,Whitefield,Very nice
Bob's Bar,"Bar, Casual Dining",2.8,40,1000.0,No,No,"South Indian, Finger Food","Byresandra,Tavarekere,Madiwala",Koramangala 7Th Block,Poor
Bob's Restaurant,Quick Bites,4.0,330,500.0,Yes,No,"North Indian, Chinese",Indiranagar,Jeevan Bhima Nagar,Very nice
Body Temple,Quick Bites,3.3,12,500.0,Yes,No,Healthy Food,"Byresandra,Tavarekere,Madiwala",Btm,Average
Boho,Casual Dining,4.2,1721,1200.0,No,Yes,"Continental, Asian, American, North Indian, Desserts","Byresandra,Tavarekere,Madiwala",Koramangala 5Th Block,Very nice
Bohra Bohra CafÃÂÃÂÃÂÃÂÃÂÃÂÃÂÃÂ©,Quick Bites,3.5,49,300.0,Yes,No,Bohri,Jayanagar,Jp Nagar,Good
Bold,"Bar, Casual Dining",3.9,866,1500.0,No,Yes,"Modern Indian, Continental, North Indian",Marathahalli,Marathahalli,Good
Bollywood Grill,Casual Dining,3.4,5,1500.0,No,No,North Indian,Electronic City,Electronic City,Average
Bologna,Casual Dining,4.5,717,1000.0,No,Yes,Italian,Indiranagar,Indiranagar,Very nice
Bombay Adda,"Casual Dining, Bar",4.4,2355,1100.0,No,Yes,Modern Indian,Koramangala 4Th Block,Koramangala 7Th Block,Very nice
Bombay Brasserie,Casual Dining,4.3,555,1800.0,Yes,No,Modern Indian,Bellandur,Bellandur,Very nice
Bombay Chowpaty Kulfi,Dessert Parlor,3.7,40,250.0,No,No,"Ice Cream, Desserts",Kalyan Nagar,Kalyan Nagar,Good
Bombay Food Express,Quick Bites,3.7,18,250.0,No,No,"Street Food, Fast Food",Brigade Road,Shanti Nagar,Good
Bombay Kulfi,Dessert Parlor,3.4,33,150.0,Yes,No,"Desserts, Ice Cream",Sarjapur Road,Sarjapur Road,Average
Bombay Kulfis,Dessert Parlor,3.3,4,200.0,No,No,Ice Cream,Indiranagar,Indiranagar,Average
Bombay Sandwich Company,Delivery,3.0,40,400.0,Yes,No,"Sandwich, Beverages",Old Airport Road,Indiranagar,Average
Bombay Talkies,Quick Bites,3.6,24,200.0,Yes,No,"Maharashtrian, Fast Food, Street Food, Sandwich",Koramangala 7Th Block,Jayanagar,Good
Bombay Vada Pav Corner,Quick Bites,4.1,84,150.0,Yes,No,Street Food,Rajajinagar,Seshadripuram,Very nice
Bon Appetit Resto,Delivery,3.8,50,300.0,Yes,No,"North Indian, Chinese",Malleshwaram,New Bel Road,Good
Bon Baker,Delivery,3.7,19,1000.0,No,No,Desserts,Marathahalli,Whitefield,Good
Bon Sante,Cafe,3.6,104,800.0,No,No,"Cafe, Continental, Italian",Church Street,Brigade Road,Good
Bonbonbite,Bakery,3.5,10,450.0,No,No,"Bakery, Desserts",New Bel Road,Jalahalli,Good
Bonfooder,Delivery,3.8,36,400.0,Yes,No,North Indian,Sarjapur Road,Sarjapur Road,Good
Bong Connections,Quick Bites,2.8,40,300.0,No,No,"Chinese, North Indian",Brookefield,Whitefield,Poor
BongHomie,"Takeaway, Delivery",3.4,10,300.0,No,No,"Bengali, North Indian","Byresandra,Tavarekere,Madiwala",Btm,Average
Bonsouth,Casual Dining,4.2,2616,1300.0,Yes,Yes,"Chettinad, Andhra, Kerala","Byresandra,Tavarekere,Madiwala",Koramangala 5Th Block,Very nice
Bonum cibum,Casual Dining,4.5,181,1200.0,Yes,No,"Lebanese, Turkish","Byresandra,Tavarekere,Madiwala",Hsr,Very nice
Book My Cakes,Bakery,3.3,4,300.0,Yes,No,Bakery,Indiranagar,Old Airport Road,Average
Boondock Bistro,"Casual Dining, Cafe",3.9,1636,900.0,Yes,Yes,"Steak, Continental, American, Italian, Salad, Cafe",Whitefield,Whitefield,Good
Bootlegger,Lounge,4.0,601,1800.0,No,Yes,"Continental, Steak",Indiranagar,Indiranagar,Very nice
Borah's Kitchen,Quick Bites,3.3,12,250.0,Yes,No,"North Indian, Chinese","Byresandra,Tavarekere,Madiwala",Btm,Average
Boston Barista - Kappayum Curriyum,Quick Bites,3.6,64,350.0,Yes,No,Kerala,Jayanagar,Btm,Good
Bottle & Glass,"Bar, Casual Dining",4.0,973,1400.0,No,Yes,"Continental, Chinese, Italian",Indiranagar,Indiranagar,Very nice
Bottle Breacher,"Casual Dining, Pub",4.1,1187,1200.0,No,Yes,"Italian, Continental",Bannerghatta Road,Jp Nagar,Very nice
Bottoms Up Resto Bar,Bar,3.9,248,1200.0,No,No,"Finger Food, Italian, Continental",Kammanahalli,Kalyan Nagar,Good
Bowl House Kitchen,"Takeaway, Delivery",2.8,40,400.0,Yes,No,"North Indian, Biryani, Asian",Electronic City,Electronic City,Poor
Bowl N Biryani,Quick Bites,3.3,24,500.0,Yes,No,"Biryani, North Indian, Chinese",Whitefield,"Itpl Main Road, Whitefield",Average
Bowl'd over Rice,"Takeaway, Delivery",2.8,40,300.0,Yes,No,North Indian,Old Airport Road,Indiranagar,Poor
Bowlful,"Takeaway, Delivery",3.6,12,500.0,Yes,No,North Indian,Indiranagar,Domlur,Good
Bowls & Combos Co.,Delivery,2.8,40,300.0,No,No,"Chinese, Thai, North Indian",Indiranagar,Indiranagar,Poor
Bowring Kulfi,Dessert Parlor,4.0,40,150.0,No,No,"Ice Cream, Desserts",Brigade Road,Residency Road,Very nice
Box Magic,Quick Bites,3.6,21,400.0,Yes,No,"North Indian, South Indian, Seafood, Rolls",Bannerghatta Road,Bannerghatta Road,Good
Box of Biryani,Delivery,3.5,9,400.0,No,No,"Biryani, North Indian, Kebab",Koramangala 4Th Block,Koramangala 6Th Block,Good
BOX8- Desi Meals,Delivery,4.3,248,500.0,Yes,No,"North Indian, Mughlai, Fast Food",Jayanagar,Jp Nagar,Very nice
Boxes And Combos,Quick Bites,2.8,40,500.0,No,No,"North Indian, South Indian",Brookefield,Whitefield,Poor
Bozo's Yum Yums,"Takeaway, Delivery",4.0,90,650.0,Yes,No,"Fast Food, Burger, American",Brigade Road,Frazer Town,Very nice
BR Military Hotel,Quick Bites,3.1,6,300.0,No,No,North Indian,Mg Road,Indiranagar,Average
Brahma Brews,"Microbrewery, Casual Dining",2.8,40,1400.0,No,Yes,"Continental, South Indian, Finger Food, Pizza, Seafood",Bannerghatta Road,Jp Nagar,Poor
Brahmin Cafe,Quick Bites,3.8,19,150.0,No,No,South Indian,Banashankari,Banashankari,Good
Brahmin's Coffee Bar,Quick Bites,3.9,282,250.0,No,No,South Indian,Malleshwaram,Malleshwaram,Good
Brahmins Food Corner,Quick Bites,3.7,95,400.0,Yes,No,"South Indian, North Indian, Chinese",New Bel Road,Jalahalli,Good
Brahmins' Thatte Idli,Quick Bites,3.9,126,100.0,Yes,No,South Indian,Rajajinagar,Rajajinagar,Good
Bramhin Tiffins,Quick Bites,3.6,12,150.0,No,No,South Indian,Jp Nagar,Jp Nagar,Good
Brea,Bakery,3.4,34,300.0,Yes,No,"Bakery, Fast Food",Old Airport Road,Jeevan Bhima Nagar,Average
Bread and Circus,Cafe,3.7,50,550.0,No,No,"Cafe, Fast Food, Pizza, Burger",Lavelle Road,Shanti Nagar,Good
Bread Crumbs Bakery,Bakery,4.0,164,250.0,No,No,"Desserts, Bakery",Bannerghatta Road,Bannerghatta Road,Very nice
Breads and Banter,"Cafe, Bakery",4.2,65,400.0,No,Yes,"Cafe, Bakery, Fast Food",Brookefield,Brookefield,Very nice
Breadworks,"Bakery, Cafe",2.9,48,500.0,Yes,No,"Bakery, Cafe",Indiranagar,Indiranagar,Poor
Break Hour,Quick Bites,4.0,96,150.0,Yes,No,"Chinese, Beverages",Malleshwaram,Rajajinagar,Very nice
Breakfast House,Quick Bites,3.6,49,300.0,No,No,"South Indian, North Indian",Brookefield,"Itpl Main Road, Whitefield",Good
Breakstation,Quick Bites,2.8,40,200.0,No,No,Fast Food,Old Airport Road,Old Airport Road,Poor
Breaktime Brew,Cafe,3.7,24,550.0,Yes,No,Cafe,"Byresandra,Tavarekere,Madiwala",Koramangala 7Th Block,Good
Breezes - Hotel Pigeon International,Casual Dining,3.5,23,900.0,No,No,"North Indian, Continental",Old Airport Road,Old Airport Road,Good
Breezy Cow Bar,Beverage Shop,3.8,25,400.0,Yes,No,Beverages,Marathahalli,Kaggadasapura,Good
Brew and Barbeque - A Microbrewery Pub,"Microbrewery, Pub",4.6,5894,1400.0,Yes,Yes,"Continental, North Indian, Bbq, Steak",Marathahalli,Marathahalli,Very nice
Brew Bakes,Cafe,3.4,13,550.0,No,No,"Cafe, Continental, Italian",Basavanagudi,Jayanagar,Average
Brew Bakes Cafe,Cafe,3.7,45,600.0,Yes,No,"Cafe, Beverages",Rajajinagar,Vijay Nagar,Good
Brew Cafe,Quick Bites,3.2,4,300.0,No,No,Fast Food,"Byresandra,Tavarekere,Madiwala",Btm,Average
Brew Meister,"Microbrewery, Casual Dining",4.1,970,1500.0,Yes,Yes,"North Indian, Continental, Finger Food, American, Asian",Banashankari,Jayanagar,Very nice
Brew Point,Cafe,3.6,10,500.0,Yes,No,"Cafe, American, Burger, Sandwich, Fast Food",Bannerghatta Road,Jp Nagar,Good
Brewbakes,Cafe,3.3,7,450.0,No,No,"Cafe, Pizza, Italian, Sandwich",New Bel Road,New Bel Road,Average
Brewklyn Microbrewery,"Microbrewery, Casual Dining",4.4,2329,1400.0,Yes,Yes,"American, South Indian, Thai, Pizza, Italian",Kalyan Nagar,Kalyan Nagar,Very nice
Brews N Bites,"Quick Bites, Cafe",2.7,48,650.0,Yes,No,"Chinese, Fast Food, Cafe, Street Food, Finger Food",Bannerghatta Road,Bannerghatta Road,Poor
Brewsky,Microbrewery,4.3,4321,1600.0,Yes,Yes,"Continental, American",Jayanagar,Jp Nagar,Very nice
Brewz Coffee,Cafe,3.0,61,650.0,Yes,No,Cafe,Bannerghatta Road,Btm,Average
Bricklane,Casual Dining,4.2,1633,1500.0,No,Yes,"Italian, Mediterranean, Pizza",Indiranagar,Indiranagar,Very nice
Bridgeway,Casual Dining,3.8,94,550.0,No,No,"North Indian, Chinese",Banashankari,Mysore Road,Good
Brik Oven,Cafe,2.8,40,1100.0,No,No,"Cafe, Pizza, Beverages",Indiranagar,Indiranagar,Poor
Brilram's Balaji Bhavan,Casual Dining,3.9,141,700.0,No,No,"South Indian, North Indian, Chinese",Whitefield,Whitefield,Good
Brimstone Cafe,"Cafe, Casual Dining",4.0,387,1300.0,Yes,Yes,"Cafe, Continental, Salad, Italian",Bellandur,Hsr,Very nice
Brindavan Veg,Quick Bites,3.7,20,350.0,Yes,No,"South Indian, North Indian, Chinese, Street Food",Kalyan Nagar,Hbr Layout,Good
Broadway - The Gourmet Theatre,Casual Dining,4.2,1142,1800.0,Yes,Yes,"Japanese, North Indian, Italian, Korean, Mexican, Thai",Bellandur,Hsr,Very nice
Brooks 37,"Casual Dining, Bar",4.1,237,1000.0,Yes,Yes,"North Indian, Continental, Asian, Pizza",Brookefield,Brookefield,Very nice
Brooks and Bonds Brewery,"Casual Dining, Microbrewery",4.4,3870,1600.0,Yes,Yes,"Continental, Mediterranean, North Indian, Chinese, Finger Food","Byresandra,Tavarekere,Madiwala",Koramangala 5Th Block,Very nice
Brother?s Bar & Kitchen,Casual Dining,3.4,5,1000.0,No,No,"Chinese, North Indian","Byresandra,Tavarekere,Madiwala",Btm,Average
BrotherÃÂÃÂÃÂÃÂÃÂÃÂÃÂÃÂÃÂÃÂÃÂÃÂÃÂÃÂÃÂÃÂs Bar & Kitchen,Casual Dining,3.4,5,1000.0,No,No,"Chinese, North Indian",Koramangala 6Th Block,Btm,Average
Brown Crust Cafe,Cafe,2.9,18,300.0,No,No,"Cafe, Italian, Desserts",Indiranagar,Old Airport Road,Poor
Brownie Heaven,Dessert Parlor,3.9,16,300.0,Yes,No,Desserts,Brigade Road,Koramangala 5Th Block,Good
Brownie Points,Bakery,3.8,25,300.0,Yes,No,"Bakery, Desserts","Byresandra,Tavarekere,Madiwala",Koramangala 4Th Block,Good
Brunch & Munch - Hotel Millennium Plaza,Casual Dining,3.5,23,1200.0,No,No,"North Indian, Chinese, Mangalorean, Andhra",Electronic City,Electronic City,Good
Bruncherz,Quick Bites,3.5,15,200.0,No,No,"North Indian, Chinese","Byresandra,Tavarekere,Madiwala",Btm,Good
Brunchilly,Casual Dining,4.0,213,1300.0,No,Yes,"North Indian, Continental",Marathahalli,Marathahalli,Very nice
Brundhavana Food Point,Quick Bites,4.0,191,300.0,Yes,No,"South Indian, North Indian, Chinese, Street Food, Beverages",Banashankari,Kumaraswamy Layout,Very nice
Brundhavana Pure Veg,Casual Dining,3.7,98,500.0,Yes,No,"South Indian, North Indian, Chinese, Beverages",Bannerghatta Road,Jp Nagar,Good
BTDT? Been There Done That,"Bar, Casual Dining",4.3,879,1300.0,No,Yes,"European, Continental, Asian, Finger Food",Indiranagar,Indiranagar,Very nice
BTM,Casual Dining,2.8,40,400.0,No,No,"North Indian, South Indian","Byresandra,Tavarekere,Madiwala",Btm,Poor
BTM Bawarchi Biryani,"Takeaway, Delivery",3.5,132,600.0,Yes,No,"Biryani, North Indian, Chinese","Byresandra,Tavarekere,Madiwala",Btm,Good
BTM Cakes,Bakery,3.3,8,400.0,Yes,No,"Bakery, Desserts",Bannerghatta Road,Btm,Average
